"bu_code","bu_naam","parkeren_pct","auto_pct","voet_pct","fiets_pct"
"BU00860209","Nij Beets",0.01,0.87,0.01,0.11
"BU01411900","Groeneveld",0.13,0.59,0.17,0.11
"BU00850302","Nijeberkoop",0.01,0.63,0.31,0.05
"BU00850309","Oldeberkoop",0.01,0.63,0.31,0.05
"BU00850401","Waskemeer",0.06,0.67,0.25,0.01
"BU00900008","De Swetten",0.08,0.53,0.35,0.04
"BU00900009","De Bouwen",0.15,0.50,0.31,0.04
"BU17240603","Buitengebied Noord 3",0.00,0.92,0.02,0.06
"BU00850408","Haulerwijk",0.03,0.83,0.05,0.09
"BU00900010","Noordoost",0.14,0.47,0.35,0.04
"BU00980009","Wolvega",0.01,0.87,0.05,0.07
"BU00850409","Waskemeer",0.00,0.87,0.00,0.13
"BU00900011","De Haven",0.16,0.77,0.03,0.03
"BU00850500","Appelscha",0.08,0.71,0.19,0.02
"BU00850501","Ravenswoud",0.05,0.90,0.03,0.02
"BU00850502","Fochteloo",0.04,0.88,0.08,0.00
"BU00850507","Appelscha",0.02,0.47,0.43,0.08
"BU00850508","Ravenswoud",0.00,0.72,0.21,0.06
"BU00980709","De Hoeve",0.00,0.98,0.02,0.00
"BU00850509","Fochteloo",0.01,0.66,0.08,0.25
"BU00860000","Gorredijk",0.11,0.58,0.27,0.04
"BU00860301","Olterterp",0.02,0.49,0.32,0.16
"BU00860302","Lippenhuizen",0.06,0.57,0.29,0.09
"BU00860303","Hemrik",0.04,0.69,0.17,0.10
"BU00860009","Gorredijk",0.01,0.81,0.04,0.14
"BU00860100","Langezwaag",0.05,0.68,0.19,0.08
"BU00860101","Luxwoude",0.05,0.87,0.07,0.00
"BU01411802","Schelfhorst-Noordwest",0.15,0.46,0.37,0.02
"BU00980801","Boijl",0.03,0.72,0.16,0.09
"BU00860102","Tijnje",0.06,0.67,0.21,0.06
"BU00900018","Burmaniapark",0.06,0.70,0.22,0.02
"BU00900120","Opeinde",0.05,0.84,0.07,0.04
"BU17240605","Buitengebied Zuid-Oost",0.12,0.78,0.03,0.07
"BU01411803","Havezathe",0.14,0.35,0.43,0.08
"BU00860508","Wijnjewoude-Oost",0.01,0.41,0.49,0.09
"BU01140300","Emmer-Compascuum-Centrum",0.09,0.64,0.24,0.03
"BU00900004","De Drait",0.10,0.48,0.34,0.08
"BU00860107","Langezwaag",0.01,0.87,0.01,0.10
"BU00860501","Wijnjewoude",0.07,0.62,0.23,0.08
"BU17240607","Buitengebied Noord-West 2",0.01,0.73,0.08,0.19
"BU00980807","Oosterstreek",0.03,0.78,0.09,0.10
"BU00860108","Luxwoude",0.00,0.99,0.00,0.01
"BU00900126","De Wilgen",0.05,0.70,0.13,0.11
"BU02220903","De Kruisberg",0.08,0.73,0.14,0.05
"BU00860109","Tijnje",0.02,0.86,0.02,0.11
"BU00860200","Terwispel",0.09,0.70,0.19,0.02
"BU01190600","Veldenbuurt",0.08,0.54,0.28,0.10
"BU00860307","Beetsterzwaag",0.01,0.64,0.25,0.10
"BU00900001","Centrum",0.13,0.31,0.52,0.03
"BU00900002","De Wiken",0.14,0.48,0.37,0.01
"BU00900003","De Singels",0.13,0.53,0.27,0.07
"BU01411910","wijk 19",0.14,0.70,0.09,0.08
"BU00860308","Lippenhuizen",0.00,0.54,0.24,0.22
"BU01412000","Aadorp-West",0.07,0.72,0.10,0.11
"BU00860309","Hemrik",0.00,0.65,0.27,0.08
"BU00860400","Ureterp",0.07,0.59,0.30,0.04
"BU00860409","Frieschepalen",0.02,0.77,0.03,0.19
"BU00860500","Bakkeveen",0.13,0.58,0.27,0.02
"BU17240609","Buitengebied Zuid 1",0.00,0.89,0.03,0.07
"BU01411503","Achterlanden en omgeving",0.15,0.55,0.28,0.02
"BU00860402","Siegerswoude",0.01,0.84,0.03,0.12
"BU00860408","Ureterp",0.01,0.87,0.02,0.10
"BU01411106","Bornsestraat en omgeving Zuid",0.15,0.49,0.29,0.06
"BU01630605","Kruidenwijk West",0.06,0.60,0.28,0.05
"BU01191001","Industrie Oevers B",0.06,0.93,0.01,0.00
"BU00860507","Bakkeveen",0.01,0.60,0.32,0.06
"BU01412001","Aadorp-Oost",0.11,0.65,0.18,0.06
"BU00860509","Wijnjewoude-West",0.01,0.81,0.11,0.07
"BU00880000","Schiermonnikoog",0.04,0.88,0.05,0.04
"BU00880009","Schiermonnikoog",0.02,0.68,0.04,0.26
"BU03040000","Haaften",0.13,0.65,0.20,0.03
"BU00900012","Buitengebied Drachten",0.05,0.78,0.07,0.10
"BU00900013","De Trisken",0.15,0.56,0.25,0.04
"BU00900014","Fennepark",0.03,0.68,0.16,0.13
"BU00900015","Himsterhout",0.03,0.70,0.23,0.05
"BU00900016","Bedrijvenpark",0.01,0.90,0.02,0.07
"BU00900017","Vrijburg",0.06,0.74,0.13,0.08
"BU00900121","Rottevalle",0.04,0.80,0.12,0.05
"BU00900127","Smalle Ee",0.00,0.92,0.00,0.07
"BU00980302","Langelille",0.17,0.74,0.00,0.09
"BU00900122","Houtigehage",0.04,0.84,0.09,0.03
"BU00900131","Nijega",0.01,0.88,0.03,0.07
"BU00980307","Munnekeburen",0.00,0.91,0.00,0.09
"BU00980500","Oldeholtpade",0.03,0.87,0.05,0.04
"BU01411600","Boomplaats",0.13,0.42,0.45,0.01
"BU00900123","Drachtstercompagnie",0.02,0.88,0.03,0.07
"BU08280307","Willibrordusweg-West",0.01,0.58,0.39,0.01
"BU01094041","Diphoorn",0.00,1.00,0.00,0.00
"BU01710838","Tollebeek-bedrijventerrein",0.14,0.85,0.02,0.00
"BU00900124","Kortehemmen",0.00,0.96,0.02,0.03
"BU01411601","Ossenkoppelerhoek-Oost",0.09,0.56,0.30,0.05
"BU00930110","Midsland",0.22,0.59,0.17,0.02
"BU01191002","Industrie Oevers C",0.13,0.71,0.05,0.12
"BU00900132","De Tike",0.02,0.88,0.02,0.08
"BU00930000","West-Terschelling",0.12,0.56,0.22,0.09
"BU00900125","Boornbergum",0.05,0.76,0.12,0.07
"BU00930002","West-Terschelling",0.02,0.48,0.00,0.50
"BU03610603","De Horn-Zuid",0.09,0.59,0.28,0.04
"BU00900128","De Veenhoop",0.03,0.85,0.04,0.08
"BU00900129","Goëngahuizen",0.02,0.98,0.00,0.00
"BU00900130","Oudega",0.02,0.90,0.04,0.03
"BU01411602","Beeklust",0.15,0.42,0.39,0.04
"BU00930111","Midsland-Zuid",0.01,0.81,0.02,0.16
"BU00980000","Wolvega",0.11,0.64,0.23,0.02
"BU07851121","Geestelijken",0.12,0.52,0.31,0.05
"BU01470003","'t Wensink Zuid",0.11,0.48,0.33,0.07
"BU00930112","Midsland-Noord",0.08,0.48,0.02,0.42
"BU00930213","Formerum",0.06,0.81,0.02,0.11
"BU00980508","Oldeholtpade",0.00,0.86,0.04,0.11
"BU00930418","Koegelwieck",0.00,0.96,0.00,0.04
"BU00930419","Hoorn",0.07,0.88,0.04,0.00
"BU00930214","Formerum-Zuid",0.00,0.96,0.01,0.02
"BU03450301","Franse Gat",0.13,0.54,0.28,0.05
"BU00930317","Lies-Zuid",0.00,1.00,0.00,0.00
"BU00980109","Ter Idzard",0.00,1.00,0.00,0.00
"BU01144600","Bargeres",0.14,0.57,0.22,0.07
"BU00930420","Hoorn-Zuid",0.01,0.93,0.00,0.06
"BU00930521","Oosterend",0.01,0.95,0.00,0.04
"BU00930522","Oosterend-Zuid",0.03,0.93,0.00,0.04
"BU00930523","De Boschplaat",0.00,0.96,0.01,0.04
"BU00960000","Oost-Vlieland",0.03,0.66,0.27,0.04
"BU00960009","Vlieland",0.00,0.56,0.07,0.37
"BU01091002","Poppenhare",0.09,0.53,0.26,0.12
"BU00980106","Nijelamer",0.00,1.00,0.00,0.00
"BU00980200","Oldetrijne",NULL,NULL,NULL,NULL
"BU08260502","Natuurkundigenbuurt",0.08,0.59,0.28,0.06
"BU01190501","Onderwijs- sportpark",0.16,0.42,0.33,0.09
"BU01411103","Nieuwland",0.17,0.47,0.36,0.00
"BU00980107","Nijeholtwolde",0.00,1.00,0.00,0.00
"BU07851122","Herstallen",0.10,0.54,0.31,0.05
"BU00980300","Munnekeburen",0.10,0.74,0.05,0.12
"BU00980208","Oldetrijne",0.02,0.86,0.00,0.12
"BU00980108","Oldeholtwolde",0.02,0.96,0.01,0.01
"BU00980402","Slijkenburg",0.02,0.97,0.00,0.00
"BU17240610","Buitengebied Zuid 2",0.00,0.79,0.05,0.16
"BU00980408","Scherpenzeel",0.00,1.00,0.00,0.00
"BU00980209","Oldelamer",0.02,0.93,0.00,0.06
"BU05010005","Kleine Goote",0.15,0.50,0.27,0.08
"BU00980501","Nijeholtpade",0.01,0.98,0.01,0.00
"BU01411301","Markgraven",0.02,0.71,0.24,0.03
"BU01190601","Vlinderbuurt",0.11,0.53,0.28,0.08
"BU00980308","Nijetrijne",0.04,0.90,0.02,0.04
"BU01411603","Ossenkoppelerhoek-Midden-Noord",0.12,0.44,0.34,0.10
"BU01191201","Griftebuurt",0.12,0.60,0.27,0.01
"BU01190602","Vogelbuurt",0.06,0.66,0.17,0.11
"BU00980309","Langelille",0.00,1.00,0.00,0.00
"BU00980400","Scherpenzeel",0.06,0.85,0.08,0.00
"BU00980401","Spanga",0.00,0.92,0.04,0.04
"BU00980702","De Hoeve",0.02,0.84,0.06,0.08
"BU00980409","Spanga",0.00,1.00,0.00,0.00
"BU03940241","Nieuw-Vennep 't Kabel",0.06,0.91,0.00,0.03
"BU00980509","Nijeholtpade",0.00,1.00,0.00,0.00
"BU00980609","Peperga",0.00,0.90,0.03,0.07
"BU00980700","Steggerda",0.03,0.67,0.11,0.19
"BU00980701","Vinkega",0.00,0.68,0.06,0.25
"BU00980600","Blesdijke",0.03,0.67,0.02,0.27
"BU00980601","De Blesse",0.10,0.60,0.19,0.10
"BU00980602","Peperga",0.00,0.88,0.01,0.11
"BU00980607","De Blesse",0.00,0.94,0.02,0.03
"BU00980608","Blesdijke",0.00,0.70,0.22,0.08
"BU01411401","Rohof en omgeving",0.07,0.55,0.26,0.12
"BU01092029","Dalerveen",0.00,0.94,0.00,0.05
"BU01411907","Maardijk",0.09,0.70,0.15,0.05
"BU01094043","Noord-Sleen",0.01,0.93,0.00,0.05
"BU00980708","Vinkega",0.00,0.94,0.02,0.04
"BU01140302","Foxel",0.00,0.72,0.19,0.08
"BU01191203","Danninge Erve",0.04,0.68,0.24,0.05
"BU00980707","Steggerda",0.00,0.85,0.10,0.04
"BU01140301","Emmer-Erfscheidenveen",0.04,0.76,0.13,0.08
"BU01411101","Riet Noord",0.12,0.45,0.39,0.04
"BU15070403","Weisterbeek",0.13,0.43,0.44,0.00
"BU00980800","Noordwolde",0.05,0.64,0.26,0.05
"BU01140304","Hoofdkanaal",0.00,0.80,0.00,0.20
"BU01140309","Emmer-Compascuum",0.02,0.84,0.03,0.11
"BU01060006","Cultuureelkwartier",0.11,0.38,0.48,0.03
"BU01140400","Barger-Compascuum-Centrum",0.10,0.57,0.26,0.07
"BU01191204","Spijkerserve",0.05,0.64,0.19,0.12
"BU00980808","Noordwolde en Zandhuizen",0.00,0.72,0.21,0.07
"BU00980809","Boijl",0.00,0.94,0.00,0.06
"BU05050114","Kon. Wilhelminastraat en omgeving",0.16,0.35,0.45,0.05
"BU01186201","Industriegebied Toldijk",0.02,0.85,0.03,0.10
"BU01190603","Verzetsbuurt",0.12,0.58,0.23,0.06
"BU01190700","Drukkersbuurt",0.08,0.70,0.20,0.02
"BU01060007","Oude Gasfabriek",0.09,0.48,0.32,0.11
"BU01092030","Stieltjeskanaal",0.00,0.99,0.00,0.01
"BU01140106","Siepelveen",0.00,1.00,0.00,0.00
"BU01140109","Nieuw-Weerdinge",0.00,0.93,0.04,0.03
"BU01060302","Houtlaan",0.00,0.92,0.08,0.00
"BU01190701","Nieuwveenselanden",0.02,0.79,0.05,0.14
"BU01060000","Brinkkwartier",0.03,0.28,0.66,0.04
"BU01411804","Schelfhorst-Noordoost",0.06,0.49,0.44,0.01
"BU01411402","Kerkelanden",0.19,0.43,0.32,0.06
"BU01060001","Erfgoedkwartier",0.02,0.38,0.55,0.06
"BU01094044","'t Haantje",0.01,0.83,0.02,0.14
"BU01092027","Dalerpeel",0.00,0.97,0.00,0.02
"BU01060002","Overcingel",0.06,0.51,0.36,0.07
"BU01140303","Oosterdiep",0.00,0.82,0.03,0.15
"BU02035541","Blankensgoed",0.14,0.45,0.39,0.02
"BU01060003","Oranjebuurt",0.09,0.53,0.28,0.10
"BU19300901","Schenkel-Noordwest",0.15,0.35,0.39,0.11
"BU01060004","Galgenveld",0.06,0.37,0.52,0.05
"BU01094048","De Kiel",0.01,0.78,0.07,0.14
"BU01191003","Industrie Oevers D",0.00,0.96,0.00,0.04
"BU01092031","Stieltjeskanaal",0.04,0.94,0.00,0.02
"BU05050307","Rembrandtlaan en omgeving",0.10,0.55,0.33,0.01
"BU01140101","Eerste Kruisdiep",0.11,0.51,0.35,0.04
"BU01140102","Tramwijk",0.00,0.72,0.03,0.24
"BU01140103","Achterdiep",0.09,0.62,0.15,0.14
"BU01093037","Zwinderen",0.02,0.94,0.01,0.03
"BU01093038","Geesbrug",0.11,0.72,0.14,0.04
"BU05050305","Krispijnse Driehoek",0.15,0.35,0.45,0.04
"BU01060005","Koopmanskwartier",0.10,0.40,0.43,0.07
"BU01093032","Oosterhesselen",0.05,0.78,0.14,0.03
"BU01060008","De Hertenkamp",0.05,0.54,0.33,0.07
"BU01411403","Aalderinkshoek Noordoost",0.18,0.48,0.28,0.06
"BU01140701","Amsterdamscheveld",0.02,0.79,0.02,0.17
"BU01190300","Hesselingen",0.13,0.50,0.35,0.01
"BU01060009","Asserbos",0.03,0.24,0.55,0.18
"BU01060010","De Esch",0.05,0.50,0.37,0.08
"BU01190301","Koeberg",0.16,0.38,0.41,0.04
"BU01191004","Industrie Oevers E",0.03,0.69,0.20,0.07
"BU01191206","Kolderveen",0.00,0.94,0.02,0.04
"BU01060011","Bomenbuurt",0.01,0.59,0.29,0.11
"BU01094047","Schoonoord",0.09,0.71,0.15,0.06
"BU01060012","Zuiderpark",0.13,0.67,0.11,0.09
"BU01190101","Oude Vaart",0.04,0.83,0.12,0.01
"BU01191207","Kolderveense Bovenboer",0.00,0.97,0.00,0.03
"BU01411405","Aalderinkshoek Noordwest",0.12,0.44,0.39,0.05
"BU01094049","De Kiel",0.01,0.74,0.07,0.18
"BU05050306","Jacob Catsstraat en omgeving",0.06,0.42,0.44,0.08
"BU01145201","Zuidbarge",0.02,0.72,0.05,0.21
"BU01145200","Noordbarge",0.08,0.73,0.10,0.09
"BU05050401","Waldeck Pyrmontweg en omgeving",0.09,0.55,0.33,0.03
"BU01411000","Binnenstad-Noord",0.13,0.41,0.40,0.06
"BU01060100","De Lariks Oost",0.09,0.53,0.33,0.05
"BU01060101","Landgoed Lariks",0.03,0.59,0.29,0.08
"BU01411406","Aalderinkshoek Zuidwest",0.11,0.51,0.30,0.08
"BU01060102","De Lariks West",0.09,0.50,0.37,0.03
"BU01094050","Kibbelveen",0.00,0.95,0.00,0.05
"BU01470008","Stroom-Esch",0.10,0.52,0.30,0.08
"BU01060103","Luchiesland Zuid",0.08,0.52,0.33,0.07
"BU01094055","Holsloot",0.00,0.99,0.01,0.01
"BU02220712","Wijnbergen-het Oosten",0.05,0.52,0.34,0.09
"BU01060104","Zuid Molukse Buurt",0.07,0.46,0.43,0.04
"BU01060504","Baggelhuizen Noord",0.17,0.35,0.41,0.07
"BU05050400","Pr. Bernhardstraat en omgeving",0.08,0.52,0.36,0.04
"BU01060105","Luchiesland Noord",0.11,0.45,0.36,0.08
"BU01060200","Oude Molenbuurt",0.09,0.47,0.42,0.01
"BU01095058","Zweeloo",0.06,0.78,0.09,0.08
"BU01095059","Aalden",0.08,0.71,0.15,0.06
"BU01600402","Balkbrug-Noord",0.14,0.66,0.13,0.08
"BU01060201","Dichtershof",0.12,0.56,0.20,0.12
"BU01060202","Veningerland",0.10,0.48,0.37,0.05
"BU01095065","Benneveld",0.00,0.96,0.02,0.02
"BU01145301","Bedrijvenpark A37",0.00,0.89,0.01,0.10
"BU01060203","Zwarte Water",0.11,0.48,0.35,0.06
"BU01060204","Componistenbuurt West",0.04,0.67,0.16,0.13
"BU01770100","Industriegebied De Zegge I en II",0.07,0.84,0.03,0.07
"BU01060205","Componistenbuurt Oost",0.14,0.48,0.32,0.07
"BU01185001","Noord",0.14,0.54,0.21,0.12
"BU01185002","Bentinckspark",0.12,0.50,0.23,0.16
"BU01630603","Kruidenwijk Centrum",0.13,0.45,0.35,0.07
"BU01095062","Meppen",0.00,0.83,0.03,0.14
"BU01190201","Staatsliedenbuurt",0.14,0.44,0.40,0.02
"BU01060301","Vreebergen",0.00,0.75,0.08,0.17
"BU01190200","Heinsiusbuurt",0.15,0.41,0.43,0.01
"BU01140402","Verlengde Oosterdiep",0.00,0.75,0.01,0.24
"BU01640200","Noord",0.09,0.48,0.38,0.05
"BU01931310","Oud-Assendorp",0.17,0.41,0.34,0.07
"BU01060300","Dijkveld",0.06,0.66,0.10,0.18
"BU01185005","Zuid",0.12,0.53,0.31,0.03
"BU01185006","Venesluis",0.07,0.51,0.34,0.07
"BU01931320","Nieuw-Assendorp",0.13,0.45,0.35,0.07
"BU01060303","Amelterhout",0.00,0.66,0.12,0.22
"BU01093035","Gees",0.02,0.77,0.02,0.20
"BU01185201","Fluitenberg",0.03,0.88,0.08,0.02
"BU01060505","Lauwers",0.19,0.59,0.12,0.10
"BU05050402","Anna Paulownastraat en omgeving",0.12,0.44,0.40,0.04
"BU01190202","Zeeheldenbuurt",0.13,0.53,0.33,0.01
"BU01060800","Kloosterveste",0.07,0.30,0.50,0.14
"BU01060304","Schildersbuurt",0.10,0.56,0.30,0.04
"BU01095063","Wezup",0.02,0.86,0.01,0.12
"BU01095064","Wezuperbrug",0.01,0.81,0.06,0.12
"BU01185007","West",0.14,0.59,0.20,0.07
"BU01060305","Vredeveld Noord",0.07,0.50,0.38,0.05
"BU01060306","Sluisdennen",0.08,0.61,0.24,0.07
"BU01140503","Vastenow",0.00,0.70,0.00,0.29
"BU05050403","Emmastraat en omgeving",0.14,0.39,0.43,0.04
"BU01060603","De Kampen/De Essen",0.05,0.68,0.13,0.14
"BU01093036","Zwinderen",0.01,0.94,0.01,0.05
"BU01185300","Elim Kern",0.13,0.55,0.30,0.02
"BU01060307","Vredeveld Zuid",0.11,0.50,0.38,0.01
"BU01060802","Kloosterhaven",0.04,0.78,0.10,0.09
"BU01060308","De Dorpen",0.08,0.54,0.38,0.01
"BU01185100","Steenbergerweiden",0.10,0.44,0.32,0.14
"BU01185301","Elim-Noord",0.00,0.74,0.19,0.07
"BU01185500","Noordscheschut kern",0.12,0.55,0.28,0.05
"BU01145300","Industrieterrein Bargermeer",0.08,0.81,0.03,0.08
"BU01185102","Grittenhof",0.23,0.59,0.13,0.05
"BU01186202","Industriegebied Noord A",0.02,0.76,0.06,0.16
"BU01060805","Kloosterstede",0.15,0.43,0.38,0.03
"BU01060710","De Stoepen",0.06,0.69,0.19,0.06
"BU04890410","Oranjewijk 2",0.08,0.68,0.20,0.04
"BU01060309","GGZ-terrein",0.19,0.56,0.16,0.09
"BU01185105","Schutlanden-Oost",0.14,0.59,0.17,0.10
"BU01185600","Nieuwlande kern",0.06,0.79,0.10,0.05
"BU01060310","Park Diepstroeten",0.09,0.58,0.25,0.09
"BU01185000","Centrum",0.10,0.32,0.53,0.05
"BU01185107","Kattouw",0.10,0.50,0.20,0.19
"BU01931330","Wezenlanden",0.09,0.48,0.35,0.09
"BU01060400","Pittelo Zuid",0.01,0.65,0.16,0.18
"BU01060708","De Beemden",0.12,0.55,0.24,0.08
"BU01185501","Noordscheschut",0.02,0.88,0.01,0.10
"BU01830008","Manderveen",0.01,0.93,0.05,0.01
"BU01060401","Pittelo Midden",0.09,0.49,0.37,0.05
"BU01185003","Krakeel",0.14,0.44,0.35,0.07
"BU02320101","Oene",0.11,0.67,0.22,0.00
"BU01060402","Pittelo Noord",0.12,0.37,0.43,0.08
"BU01185004","Wolfsbos",0.13,0.51,0.31,0.06
"BU08280400","Oorlogsheldenbuurt",0.00,0.61,0.38,0.00
"BU01931340","Pierik",0.12,0.51,0.27,0.10
"BU01060403","Recreatiepark Pittelo",0.10,0.43,0.30,0.17
"BU01185109","Erflanden",0.10,0.61,0.23,0.05
"BU05880303","Schenkeldijk",0.06,0.94,0.00,0.00
"BU01931350","Bedrijventerrein Marslanden-Noord",0.01,0.81,0.03,0.15
"BU01140401","Scholtenskanaal",0.03,0.86,0.04,0.08
"BU01144700","Rietlanden",0.10,0.64,0.15,0.11
"BU01060808","Kloosterkade",0.05,0.57,0.29,0.08
"BU01060500","De Maten",0.22,0.61,0.06,0.11
"BU01140608","Langs de Vaart",0.01,0.84,0.00,0.15
"BU07851223","Sportpark Van den Wildenberg",0.29,0.32,0.38,0.00
"BU01931360","Hanzeland",0.04,0.54,0.36,0.07
"BU01060501","De Boskamp",0.05,0.79,0.11,0.04
"BU01931400","Kamperpoort",0.24,0.48,0.23,0.05
"BU01060502","Baggelhuizen Zuid",0.03,0.66,0.18,0.13
"BU01060503","Baggelhuizen Midden",0.08,0.61,0.22,0.10
"BU01140408","Limietweg",0.00,0.93,0.00,0.07
"BU01140409","Barger-Compascuum",0.08,0.75,0.02,0.16
"BU01140500","Nieuw-Dordrecht-Centrum",0.11,0.57,0.24,0.08
"BU08280705","Loovelt",0.10,0.51,0.32,0.08
"BU01060506","Huize Nassau",0.02,0.85,0.05,0.09
"BU01141002","Westerse Bos",0.00,0.94,0.00,0.05
"BU01186203","Industriegebied Noord B",0.01,0.80,0.02,0.17
"BU01600503","Oud-Bergentheim",0.00,0.86,0.01,0.12
"BU01060809","Sterrenbeeldenbuurt",0.02,0.77,0.09,0.12
"BU01185200","Fluitenberg kern",0.04,0.82,0.05,0.09
"BU01140502","Oranjedorp",0.02,0.93,0.01,0.04
"BU01091006","Klooster",0.00,0.93,0.01,0.06
"BU01060507","Kazerneterrein",0.17,0.55,0.25,0.04
"BU01091004","De Heege",0.05,0.64,0.22,0.10
"BU01411001","Binnenstad-Zuid",0.11,0.47,0.32,0.09
"BU01060508","Westerpark",0.12,0.61,0.17,0.10
"BU01091009","Coevorden",0.02,0.85,0.03,0.10
"BU01091010","Holwert",0.15,0.60,0.18,0.07
"BU01411002","Ulk en omgeving",0.15,0.51,0.29,0.05
"BU01060509","Sportpark Stadsbroek",0.16,0.55,0.21,0.08
"BU01143201","Westelijk en oostelijk Weiteveen",0.00,0.95,0.05,0.00
"BU01185800","Tiendeveen kern",0.08,0.74,0.15,0.04
"BU05880304","Nieuwendijk (gedeeltelijk)",0.00,0.83,0.17,0.00
"BU01411003","Java en omgeving",0.14,0.45,0.38,0.04
"BU01411100","Bornsestraat en omgeving Midden",0.09,0.47,0.33,0.11
"BU01060812","De Hoogspanning",0.09,0.59,0.23,0.09
"BU01140600","Nieuw-Amsterdam-Centrum",0.10,0.68,0.19,0.04
"BU01091014","Klinkenvlier",0.14,0.58,0.15,0.14
"BU01091015","Ossehaar",0.03,0.70,0.19,0.08
"BU01060600","De Venen/De Wallen",0.06,0.67,0.15,0.12
"BU01140504","Herenstreek",0.00,0.68,0.03,0.29
"BU01411905","Leemslagen-Oost",0.19,0.58,0.16,0.07
"BU01060601","De Velden/De Stukken",0.06,0.58,0.17,0.18
"BU01144200","Emmermeer",0.15,0.54,0.29,0.02
"BU01601903","Lutten-Oost",0.06,0.92,0.02,0.00
"BU01060602","De Landen/De Akkers",0.12,0.50,0.25,0.12
"BU01060604","Peelerpark",0.01,0.92,0.06,0.01
"BU01060700","Messchenveld",0.02,0.74,0.14,0.10
"BU01185008","Oost",0.14,0.45,0.33,0.07
"BU05880308","Eiland Tiengemeten (gedeeltelijk)",0.00,0.35,0.65,0.00
"BU01060701","De Messchen",0.04,0.71,0.15,0.10
"BU01185101","Kinholt",0.02,0.63,0.27,0.09
"BU01931410","Veerallee",0.06,0.69,0.22,0.04
"BU01060702","De Hamels",0.01,0.72,0.14,0.12
"BU01060703","De Kleuven",0.06,0.62,0.31,0.00
"BU01060704","De Dreven",0.07,0.67,0.21,0.05
"BU01185103","Schoonvelde-West",0.11,0.60,0.20,0.10
"BU01185104","Schoonvelde-Oost",0.14,0.54,0.26,0.05
"BU01932000","Bedrijventerrein Voorst-A",0.09,0.74,0.09,0.07
"BU01060705","De Breeën",0.08,0.60,0.19,0.14
"BU01185106","Schutlanden-West",0.10,0.54,0.27,0.09
"BU03636801","Baanakkerspark Zuid",0.08,0.33,0.43,0.16
"BU01060706","De Hoven",0.06,0.73,0.14,0.07
"BU01069904","Ubbena",0.01,0.65,0.02,0.33
"BU01411109","wijk 11",0.12,0.75,0.11,0.02
"BU01060707","De Heugten",0.10,0.51,0.31,0.09
"BU01060814","Recreatiepark Zeijerveen",0.00,0.88,0.02,0.10
"BU01060709","De Hullen",0.05,0.63,0.29,0.02
"BU01060815","Kloosterhout",0.00,0.79,0.19,0.02
"BU01185108","Trasselt",0.09,0.56,0.24,0.11
"BU01060711","De Goorns",0.08,0.64,0.25,0.03
"BU01140601","Barger-Erfscheidenveen",NULL,NULL,NULL,NULL
"BU01060712","Bedrijventerrein Marsdijk West",0.12,0.71,0.08,0.10
"BU01091116","Steenwijksmoer",0.07,0.77,0.15,0.01
"BU03638604","Johan Jongkindbuurt",0.10,0.46,0.34,0.10
"BU01060713","Bedrijventerrein West",0.03,0.80,0.10,0.08
"BU01144300","Angelslo",0.14,0.46,0.31,0.09
"BU01185302","Elim-Zuid",0.01,0.90,0.02,0.06
"BU01060816","Kloosterbos",0.08,0.64,0.24,0.04
"BU01144400","Emmerhout",0.15,0.48,0.29,0.08
"BU01140801","Klazienaveen-Zuid",0.12,0.57,0.27,0.03
"BU01069900","Loon",0.00,0.91,0.07,0.02
"BU01191205","Tussenboerslanden",0.17,0.46,0.33,0.03
"BU03638806","Belgiëplein e.o.",0.19,0.30,0.40,0.11
"BU01060714","Bedrijventerrein Oost",0.03,0.88,0.01,0.08
"BU01060715","Bedrijventerrein Marsdijk Oost",0.04,0.87,0.02,0.07
"BU01140802","Barger-Oosterveen",0.02,0.78,0.06,0.14
"BU01140803","Kloostermanswijk",0.01,0.91,0.09,0.00
"BU04820304","Blokweer Zuid",0.19,0.48,0.32,0.01
"BU01060716","Havenkanaal Noordzijde",0.04,0.78,0.08,0.09
"BU01140804","Dordsedijk",0.00,0.75,0.03,0.22
"BU02680733","Meijhorst",0.12,0.48,0.37,0.04
"BU01060717","Havenkanaal Zuidzijde",0.08,0.74,0.16,0.01
"BU01140806","Derksweg",0.00,1.00,0.00,0.00
"BU01144900","Delftlanden",0.09,0.82,0.03,0.06
"BU01185700","Nieuweroord kern",0.06,0.89,0.05,0.00
"BU01060801","Kloostertuinen",0.11,0.55,0.26,0.08
"BU01069901","Loon",0.01,0.85,0.04,0.11
"BU01141308","Ermerveen",0.00,1.00,0.00,0.00
"BU01185400","Hollandscheveld kern",0.11,0.56,0.27,0.06
"BU01060803","Kloosterlanen",0.02,0.64,0.27,0.07
"BU01091003","Binnenvree Buitenvree Pikveld",0.12,0.54,0.29,0.05
"BU01190000","Historisch Centrum",0.13,0.41,0.45,0.01
"BU01411200","Vriezenveenseweg en omgeving Haghoek Oost",0.08,0.60,0.28,0.03
"BU01060804","Kloosterhoven",0.11,0.51,0.24,0.13
"BU01091007","Ballast",0.08,0.65,0.24,0.03
"BU01091008","De Loo",0.06,0.58,0.24,0.12
"BU01932010","Bedrijventerrein Voorst-B",0.01,0.77,0.07,0.14
"BU01060806","Kloostergaarde",0.14,0.43,0.29,0.14
"BU01091117","Steenwijksmoer",0.01,0.89,0.02,0.09
