"bu_code","bu_naam","parkeren_pct","auto_pct","voet_pct","fiets_pct"
"BU05300901","Buitengebied",0.00,0.91,0.02,0.07
"BU05450006","Kedichem",NULL,NULL,NULL,NULL
"BU05690209","in het Oosten",0.00,0.88,0.03,0.08
"BU05880209","Overige verspreide huizen Goudswaard",0.04,0.84,0.05,0.07
"BU05890213","Ruige weide",NULL,NULL,NULL,NULL
"BU05970100","Centrum",0.13,0.47,0.36,0.04
"BU05971000","Donkersloot",0.13,0.63,0.15,0.09
"BU05990110","Stadsdriehoek",0.06,0.33,0.55,0.06
"BU05991283","Oud IJsselmonde",0.15,0.47,0.32,0.06
"BU06220101","Indische Buurt",0.07,0.54,0.31,0.08
"BU06540202","Borssele",0.01,0.91,0.05,0.03
"BU06320703","Buitengebied Kamerik",0.02,0.81,0.05,0.13
"BU01411909","Nijrees",0.13,0.67,0.18,0.02
"BU06540402","Ellewoutsdijk",0.00,1.00,0.00,0.00
"BU06541102","Oudelande",0.00,0.96,0.02,0.01
"BU06640889","Wolphaartsdijk",0.01,0.88,0.03,0.08
"BU06770828","Buitengebied Kloosterzande",0.03,0.89,0.02,0.06
"BU06770932","Kruispolder",0.01,0.98,0.00,0.00
"BU06780009","Kapelle",0.01,0.89,0.01,0.09
"BU07030000","Yerseke - Kern",0.12,0.60,0.27,0.02
"BU07070601","Middelkoop",0.00,0.73,0.00,0.27
"BU07170000","Veere",0.18,0.51,0.26,0.04
"BU07155800","Buitengebied Sas van Gent",0.03,0.87,0.03,0.08
"BU07160209","Scherpenisse",0.01,0.96,0.01,0.02
"BU07160609","Oud-Vossemeer",0.00,0.93,0.01,0.06
"BU07170509","in het Noorden",0.15,0.76,0.03,0.07
"BU07171109","Zoutelande",0.05,0.69,0.14,0.11
"BU07180302","Westduin",0.18,0.31,0.12,0.39
"BU07180800","Sloegebied",0.07,0.88,0.00,0.05
"BU07360404","Vinkeveen Buitengebied",0.00,0.84,0.09,0.07
"BU07360703","Abcoude Buitengebied",0.01,0.89,0.02,0.08
"BU07360802","Baambrugge Buitengebied",0.00,0.94,0.00,0.05
"BU07580506","Hazeldonk",0.05,0.89,0.05,0.01
"BU07580709","Buitengebied Bavel",0.01,0.90,0.04,0.05
"BU07660105","Centrum",0.16,0.52,0.31,0.01
"BU07700409","Wintelre",0.01,0.88,0.03,0.07
"BU07721337","Koudenhoven",0.06,0.62,0.15,0.16
"BU07771203","Landelijk gebied 4 (Noord)",0.00,0.79,0.01,0.20
"BU07941500","West",0.10,0.54,0.31,0.05
"BU07941501","Houtsdonk",0.07,0.65,0.18,0.10
"BU07941709","Geeneind",0.02,0.90,0.03,0.05
"BU07942901","Hoogeind",0.04,0.81,0.02,0.13
"BU08280104","Roofvogelbuurt",0.10,0.52,0.31,0.06
"BU08280702","Hoefeind",0.11,0.62,0.24,0.03
"BU08556710","Buitengebied Udenhout Noord",0.00,0.69,0.01,0.30
"BU08580009","Turfbergse Heide Nederheide",0.01,0.89,0.02,0.08
"BU08610009","ten zuiden van de E3-weg",0.06,0.82,0.04,0.09
"BU08700196","Spie Deen",0.05,0.48,0.23,0.24
"BU08890000","Reuver",0.09,0.62,0.26,0.03
"BU08930662","Well Buitengebied",0.03,0.55,0.35,0.07
"BU09173903","Schiffelerveld",0.26,0.42,0.27,0.05
"BU09350105","Sint Pieter",0.08,0.61,0.26,0.05
"BU09350406","Amby",0.06,0.67,0.24,0.03
"BU09570900","Maasplassen",0.08,0.82,0.02,0.07
"BU09510003","Vaesrade",0.06,0.73,0.11,0.10
"BU09510301","Haasdal",0.07,0.81,0.08,0.04
